id,name,docs,docs_exists,docs_anchor,details_anchor,catalog_anchor,source
privacy.disable-activity-history,Disable Activity History,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L46
privacy.disable-advertising-id,Disable Advertising ID,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L34
privacy.disable-app-diagnostics,Disable App Diagnostics,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L458
privacy.disable-app-launch-tracking,Disable App Launch Tracking,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L1068
privacy.disable-app-suggestions,Disable App Suggestions in Start,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L324
privacy.disable-application-compatibility,Disable Application Compatibility,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L73
privacy.disable-application-telemetry,Disable Application Telemetry,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L61
privacy.disable-background-apps,Disable Background Apps,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L494
privacy.disable-biometrics,Disable Biometrics,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L1081
privacy.disable-biometrics-domain-logon,Disable Biometrics for Domain Logon,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L1105
privacy.disable-biometrics-logon,Disable Biometrics Logon,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L1093
privacy.disable-camera,Disable Camera Access (Policy),Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L482
privacy.disable-ceip,Disable CEIP,Docs\privacy\privacy-verified.md,yes,yes,yes,yes,WindowsOptimizer.App\Services\TweakProviders\PrivacyTweakProvider.cs#L139
